id_credito,id_cliente,id_convenio,fecha_apertura,monto,tasa,estatus
CRED0379,CLI0076,CONV0024,2024-03-28,62443,31.49,Liquidado
CRED0380,CLI0117,CONV0048,2025-02-04,114011,20.42,Vencido
CRED0381,CLI0138,CONV0043,2024-03-23,204716,14.97,Liquidado
CRED0382,CLI0021,CONV0034,2025-07-03,143457,20.45,Activo
CRED0383,CLI0145,CONV0008,2023-05-07,222258,18.57,Activo
CRED0384,CLI0147,CONV0035,2023-11-03,48132,23.94,Activo
CRED0385,CLI0030,CONV0044,2024-02-25,192935,19.0,Activo
CRED0386,CLI0131,CONV0029,2023-04-24,123864,13.58,Activo
CRED0387,CLI0145,CONV0004,2025-08-04,181362,21.68,Liquidado
CRED0388,CLI0102,CONV0017,2023-01-07,200508,14.61,Activo
CRED0389,CLI0109,CONV0023,2023-05-11,146862,23.93,Cancelado
CRED0390,CLI0018,CONV0031,2023-03-06,80259,16.91,Liquidado
CRED0391,CLI0108,CONV0024,2025-02-22,122581,22.44,Vencido
CRED0392,CLI0097,CONV0006,2023-09-30,176320,22.32,Activo
CRED0393,CLI0138,CONV0026,2025-12-19,38383,28.73,Activo
CRED0394,CLI0001,CONV0049,2023-02-16,83214,17.56,Liquidado
CRED0395,CLI0109,CONV0035,2025-02-15,220838,14.76,Activo
CRED0396,CLI0040,CONV0018,2024-01-22,234430,20.7,Activo
CRED0397,CLI0108,CONV0040,2023-02-02,68089,22.47,Activo
CRED0398,CLI0009,CONV0029,2023-04-10,69155,28.89,Activo
CRED0399,CLI0060,CONV0035,2024-03-20,202757,22.36,Activo
CRED0400,CLI0129,CONV0019,2024-04-24,218853,23.0,Liquidado
CRED0401,CLI0148,CONV0039,2024-10-18,67102,23.62,Activo
CRED0402,CLI0134,CONV0015,2025-04-26,83774,15.3,Liquidado
CRED0403,CLI0045,CONV0041,2025-05-24,150712,17.95,Cancelado
CRED0404,CLI0098,CONV0034,2024-10-14,187533,17.0,Activo
CRED0405,CLI0097,CONV0012,2025-08-27,68168,30.19,Activo
CRED0406,CLI0037,CONV0030,2023-04-29,152426,16.95,Activo
CRED0407,CLI0136,CONV0009,2025-03-06,68663,23.06,Activo
CRED0408,CLI0021,CONV0029,2025-01-29,29238,26.43,Liquidado
CRED0409,CLI0014,CONV0018,2025-02-11,181599,19.26,Activo
CRED0410,CLI0019,CONV0013,2024-03-20,130670,14.51,Vencido
CRED0411,CLI0078,CONV0001,2024-03-09,54813,31.54,Activo
CRED0412,CLI0123,CONV0016,2024-02-23,108974,22.98,Liquidado
CRED0413,CLI0073,CONV0025,2025-08-12,144893,19.78,Activo
CRED0414,CLI0093,CONV0033,2025-10-15,127160,13.18,Cancelado
CRED0415,CLI0121,CONV0049,2024-10-17,244686,14.44,Activo
CRED0416,CLI0012,CONV0037,2024-03-29,199314,13.75,Activo
CRED0417,CLI0150,CONV0038,2025-05-05,82382,13.83,Activo
CRED0418,CLI0098,CONV0037,2024-05-18,135888,18.61,Cancelado
CRED0419,CLI0087,CONV0017,2025-09-27,194676,19.7,Activo
CRED0420,CLI0044,CONV0047,2024-12-22,49371,21.68,Activo
CRED0421,CLI0048,CONV0035,2023-05-01,142348,12.41,Liquidado
CRED0422,CLI0013,CONV0049,2023-01-14,113106,13.65,Liquidado
CRED0423,CLI0018,CONV0046,2023-11-06,7396,31.72,Liquidado
CRED0424,CLI0016,CONV0040,2025-09-16,177827,17.85,Activo
CRED0425,CLI0142,CONV0027,2023-01-25,9384,37.0,Activo
CRED0426,CLI0074,CONV0002,2025-10-25,218164,20.37,Activo
CRED0427,CLI0046,CONV0007,2023-07-17,142464,13.79,Activo
CRED0428,CLI0135,CONV0017,2024-12-26,75077,29.54,Activo
CRED0429,CLI0104,CONV0030,2024-05-13,187776,14.71,Liquidado
CRED0430,CLI0021,CONV0042,2023-03-06,29510,24.86,Activo
CRED0431,CLI0122,CONV0004,2023-01-20,189246,14.06,Activo
CRED0432,CLI0112,CONV0042,2024-11-09,153335,23.73,Cancelado
CRED0433,CLI0136,CONV0003,2024-04-15,60421,30.82,Vencido
CRED0434,CLI0146,CONV0031,2024-07-09,17205,43.71,Vencido
CRED0435,CLI0072,CONV0035,2023-03-09,52016,31.15,Activo
CRED0436,CLI0054,CONV0038,2023-10-23,202198,21.85,Liquidado
CRED0437,CLI0020,CONV0020,2023-11-29,152838,14.89,Liquidado
CRED0438,CLI0100,CONV0044,2024-11-10,105622,21.07,Activo
CRED0439,CLI0021,CONV0033,2024-12-09,19076,29.66,Activo
CRED0440,CLI0020,CONV0022,2025-03-23,207782,15.92,Liquidado
CRED0441,CLI0116,CONV0032,2024-04-12,98273,18.64,Activo
CRED0442,CLI0048,CONV0044,2025-02-17,27464,29.27,Activo
CRED0443,CLI0064,CONV0046,2023-05-31,26505,23.22,Activo
CRED0444,CLI0040,CONV0048,2025-03-08,88015,16.33,Activo
CRED0445,CLI0079,CONV0029,2025-01-07,204582,15.24,Activo
CRED0446,CLI0048,CONV0028,2025-07-08,151010,18.66,Activo
CRED0447,CLI0007,CONV0006,2024-12-25,150285,13.12,Liquidado
CRED0448,CLI0084,CONV0025,2023-01-26,81506,16.97,Liquidado
CRED0449,CLI0144,CONV0016,2025-12-03,49455,28.22,Activo
CRED0450,CLI0069,CONV0020,2024-07-03,134269,13.75,Activo
CRED0451,CLI0071,CONV0027,2024-09-05,131938,21.39,Activo
CRED0452,CLI0064,CONV0047,2025-10-12,160662,19.4,Activo
CRED0453,CLI0035,CONV0020,2023-01-14,108728,15.99,Liquidado
CRED0454,CLI0085,CONV0029,2024-11-16,117883,21.79,Vencido
CRED0455,CLI0035,CONV0020,2024-10-18,163128,23.37,Activo
CRED0456,CLI0081,CONV0012,2025-03-26,88660,15.5,Liquidado
CRED0457,CLI0126,CONV0037,2024-05-11,90429,16.51,Liquidado
CRED0458,CLI0101,CONV0024,2023-08-22,249335,18.77,Liquidado
CRED0459,CLI0140,CONV0012,2023-02-25,195634,17.54,Liquidado
CRED0460,CLI0113,CONV0019,2023-05-22,219686,22.17,Liquidado
CRED0461,CLI0128,CONV0009,2024-09-12,68444,23.03,Activo
CRED0462,CLI0109,CONV0025,2023-06-01,122720,23.89,Activo
CRED0463,CLI0103,CONV0035,2025-11-03,247088,23.04,Liquidado
CRED0464,CLI0140,CONV0003,2025-01-06,188929,22.75,Activo
CRED0465,CLI0022,CONV0007,2024-05-23,177386,19.98,Activo
CRED0466,CLI0012,CONV0037,2025-03-29,202311,15.98,Liquidado
CRED0467,CLI0028,CONV0001,2023-07-21,72826,22.66,Liquidado
CRED0468,CLI0143,CONV0038,2024-03-28,121858,16.49,Activo
CRED0469,CLI0129,CONV0010,2024-12-07,11438,36.21,Activo
CRED0470,CLI0022,CONV0008,2023-10-18,96312,15.74,Activo
CRED0471,CLI0053,CONV0034,2025-09-16,96304,17.71,Activo
CRED0472,CLI0116,CONV0021,2023-05-18,83712,12.54,Liquidado
CRED0473,CLI0006,CONV0022,2023-08-12,182508,21.6,Vencido
CRED0474,CLI0063,CONV0034,2023-12-24,149679,13.92,Liquidado
CRED0475,CLI0119,CONV0015,2025-04-09,170087,14.21,Liquidado
CRED0476,CLI0111,CONV0026,2023-03-01,198301,19.37,Activo
CRED0477,CLI0110,CONV0025,2023-01-10,189742,14.58,Activo
CRED0478,CLI0017,CONV0037,2023-07-28,214584,22.46,Activo
CRED0479,CLI0084,CONV0013,2025-07-26,34872,23.15,Vencido
CRED0480,CLI0136,CONV0041,2024-10-03,161492,16.66,Activo
CRED0481,CLI0030,CONV0023,2024-12-21,226647,17.49,Activo
CRED0482,CLI0077,CONV0040,2023-06-23,181189,13.61,Activo
CRED0483,CLI0079,CONV0008,2024-01-10,102859,20.32,Activo
CRED0484,CLI0108,CONV0039,2023-10-10,155681,16.6,Activo
CRED0485,CLI0138,CONV0045,2023-12-21,150467,14.0,Activo
CRED0486,CLI0048,CONV0021,2025-07-12,167374,12.64,Activo
CRED0487,CLI0003,CONV0032,2023-10-07,56151,29.78,Cancelado
CRED0488,CLI0130,CONV0042,2025-10-10,112252,20.22,Activo
CRED0489,CLI0114,CONV0032,2023-12-09,26671,26.78,Liquidado
CRED0490,CLI0057,CONV0019,2023-03-08,77051,22.7,Activo
CRED0491,CLI0118,CONV0037,2025-10-11,149107,18.13,Liquidado
CRED0492,CLI0069,CONV0050,2025-01-21,147093,21.87,Activo
CRED0493,CLI0113,CONV0035,2024-03-23,116451,13.23,Liquidado
CRED0494,CLI0064,CONV0020,2023-03-08,122894,15.15,Vencido
CRED0495,CLI0023,CONV0029,2023-08-29,208327,21.74,Activo
CRED0496,CLI0090,CONV0046,2025-05-26,48511,27.39,Liquidado
CRED0497,CLI0053,CONV0004,2024-12-19,144534,15.37,Activo
CRED0498,CLI0083,CONV0046,2024-08-22,80846,18.87,Cancelado
CRED0499,CLI0132,CONV0044,2023-07-15,40543,31.55,Vencido
CRED0500,CLI0016,CONV0018,2023-09-17,188874,22.39,Activo
